"","Vitex.cannabifolia","Stenactis.annuus","Photinia.glabra","Deutzia.scabra","Persicaria.thunbergii","Rhododendron.oomurasalei","Besella.rubra","Lythrum.anceps","Swida.macrophylla","Rosa.borboniana","Deutzia.crenata","Cayratia.japonica","Syringa.vulgaris","Baccharis.trimera","Itea.parviflora","Tilia.miqueliana","Lespedeza.thunbergii","Pyracantha.angustifolia","Taraxacum.japonicum","Prunus.sp1.M_PL_054","Ligustrum.obtusifolium","Rhus.sylvestris","Swida.stlonifera","Cinnamomum.camphora","Ligustrum.japonicum","Securinega.suffruticosa","Citrus.tachibana","Trifolium.repens","Justicia.procumbens","Veronicastrum.sibiricum","Spiraea.blumei","Pieris.japonica","Aesculus.camea","Tilia.japonica","Spiraea.tossensis","Stewartia.monadelpha","Edgeworthia.chrysantha","Lonicera.morrowii","Oxalis.corymbosa","Rhododendron.mucronata","Rhus.javanica","Viburnum.erosum","Abelia.grandiflora","Abelia.sp1.M_PL_054","Iris.pseudacorus","Pyracantha.crenulata","Tradescantia.ohiensis","Indigofera.tinctoria","Spiranthes.sinensis","Weigela.hortensis","Aster.ageratoides","Astragalus.sinicus","Cirsium.nipponica","Elaeagnus.multiflora","Enkianthus.perulatus","Mahonia.japonica","Malus.halliana","Spiraea.thunbergii","Hibiscus.syriacus","Pollia.japonica","Berberis.thunbergii","Campsis.grandiflora","Liriope.platyphylla","Viburnum.dilatatum","Wisteria.floribunda","Camellia.sasanqua","Euonymus.fo.rtunei","Fatsia.japonica","Hydrangea.macrophylla","Lyonia.ovalifolia","Nandina.domestica","Philadelphus.coronarius","Spiraea.cantoniensis","Buddleia.davidii","Cercis.siliquastrum","Cladrastis.sikokiana","Coreopsis.basalis","Deutzia.maximowicziana","Forsythia.suspensa","Persicaria.yokusaiana","Stellaria.media","Fraxinus.griffithii","Idesia.polycarpa","Ilex.serrata","Ixeris.debilis","Ixeris.dentata","Kerria.japonica","Prunus.tomentosa","Ranunculus.silerifolius","Rhododendron.macrosepalum","Ulmus.davidiana","Vaccinium.oldhami","Viburnum.suspensum","Aucuba.japonica","Callicarpa.japonica","Calystegia.japonica","Camellia.japonica","Cardamine.regeliana","Clerodendron.trichotomum","Desmodium.padocarpum","Deutzia.gracilis","Hypericum.patulum","Iris.japonica","Oxalis.corniculata","Paederia.scandens","Phlox.subulata","Phytolacca.americana","Polygonum.aubertii","Rorippa.indica","Serissa.japonica","Torilis.japonica","Veronica.persica","Viola.mandshurica"
"Sphaerophoria macrogaster ",0,44.3036697641521,2.13269055257877,0,0.851654769567798,0,0,0,0,2.1637155031166,3.01450474044025,0,0,0,6.85250790948896,0,0,2.81837531034622,8.77036915118911,0,0,0,0,0,0,0,0,8.18743251548663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0343490053728,0,0,0,0,0,0,0,-4.44357204484691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7339764845949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3591212671632,-2.78403595855432,0
"Unidentified sp1 M_PL_054",17.3888270264071,2.43562423226193,0,0,0,0,0,3.95970528075768,4.61024887131667,2.26008276163479,0,0,0,31.1723369091366,3.57885197427627,0,0,0,0,0,0,0,0,0,0,11.039673536099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.7725478652771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nonartha cyaneum ",8.92779233458288,3.75150330456855,0,0,0,0,4.04092629432116,18.2969695190844,0,31.3301085319616,0,0,7.80287118405752,3.69335502378967,5.51237536160925,0,0,2.26719076077345,0,0,0,0,1.32678304208619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.3389182935826,0,0,0,0,41.8272793218106,11.2285069954758,0,0,0,-19.2637298079563,0,0,0,0,0,0,0,-99.135792619597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0861005587714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratina flavipes ",6.33872568683165,12.4299674759475,0,0,0,0,0,0,0,0,2.29562963811675,0,0,1.74818614968588,0,0,0,0,5.34310504557488,0,0,0,0,0,5.66228227259958,0,0,16.6265566970155,0,0,0,0,0,0,0,0,0,0,49.2049586851468,0,0,0,0,0,0,0,0,0,0,58.6612728306114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68976476803787,0,0,0,0,0,0,0,0,0,-3.25776705259283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis cerealis ",0,5.30053461022173,0,0,17.4236711911375,0,0,0,0,0,0,0,0,5.21837635264589,0,2.38793196859563,0,0,0,9.67039350674815,0,0,0,0,8.45102219767872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66709062702146,0,0,0,0,-5.05051661973013,0,0,0,0,44.6754170115229,0,0,0,0,4.47687880536684,0,0,-23.6912866081634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Formica japonica ",0,0,1.48638134151516,8.0405830849705,0,0,8.75253991967918,0,0,1.50800421950142,21.0096283995889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90208043562919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3758691477571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena protomias ",0.57393167087804,0,0,4.95645189696696,0,0,0,0,0,0,33.6724774474298,0,0,0,2.12620994075339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aulacophora nigripennis ",0,0,0,11.6158951150506,0,0,0,0,0,0,0,0,0,1.0731357968975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus ardens",0,0,0,0,0,9.15265897653026,0,0,0,0,0,0,0,0,0,3.66751183347201,0,0,0,0,0,0,0,0,0,0,1.81253403117686,0,0,0,0,0,7.18859144129273,9.70936112779705,0,91.7592364742256,0,0,0,0,0,0,0,0,0,0,10.3683134549672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.30683705289982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vespa xanthoptera ",5.22069340096257,0,0,0,0,0,0,10.699494841057,4.15244153433583,0,0,79.9847632109058,0,0,9.67039350674815,5.92983989914805,0,0,0,0,6.13477989558331,5.62300012867078,0,0,0,0,0,0,0,0,0,0,0,0,0,111.271130046725,0,0,0,0,460.578155814178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.940375936173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.8906108732882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campsomeris grossa matsumurai ",1.33371184919421,0,0,0,0,0,0,30.0669779842019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386195023757987,9.1321566505833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.20398624930918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_054",0,27.7387017364414,0,0,0,0,0,0,0,0,0,0,0,3.03430577896385,0,0,0,0.931314480075296,0,5.62300012867078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalicodoma disjunctiformis ",4.30117611597653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37096452869589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eucetonia pilifera",0,0,0,0,0,0,0,0,6.9287478748443,0,7.09842183450047,0,0,0,8.06799059116751,0,0,1.65914624153626,0,0,0,0,0,0,35.0172061290329,0,3.66749988537726,0,0,0,0,0,0,0,0,46.4166442481944,0,1.22403902529711,0,0,0,0,0,0,0,0.86345850769129,0,0,0,0,0,0,0,0,0,0,-42.5181580127977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus ignitus",4.56239922274329,0,0,0,0,25.8650794387196,0,9.35036080410003,0,0,0,0,0,0,0,0,0,3.47582996236219,0,0,26.8061279198563,0,0,0,0,0,7.68323229708236,0,0,0,0,0,0,13.7191496762666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.7666112644402,0,0,0,0,0,0,0,-151.985075226827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Episyrphus balteatus",0,4.08763564994017,0,0,4.4788953537116,0,4.40299075822018,0,0,0,0,0,0,0,0,0,0,0,0,14.9151163623777,15.2412454797256,0,0,0,0,0,0,0,0,0,0,0,14.4379895213719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73.0804379963685,0,0,0,0,0,0,0,4.79270670525457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.49929180297774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2091292480394,0,0,0,0,0,0,0,0,0,0,0
"Pieris rapae ",1.91135735555822,4.81897192510566,0,0,1.76007785538471,0,0,11.7516333145177,0,0,3.11497289053739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.533833018451,0,0,0,0,0,0,0,0,0,13.1436369760148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bombus hypocrita hypocrita",0,0,0,0,0,11.8671011599457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87127141018212,0,0,0,0,0,8.46030526564061,2.47079654933293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2263889637396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60621641457992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.8358877645175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loderus insulicola ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1876032006289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile kobensis ",4.37144564437865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91226227797621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58365369863032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrena Knuthi",0,1.64335227798507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.070736945383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.54232508408834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthaxia Proteus ",0,0,0,0,0,0,0,0,0,14.2942347897534,1.42248825730591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile subalbuta ",7.58052918791077,0,0,0,0,0,0,5.17861177365051,0,0,0,0,0,0,0,0,10.2220319609161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36023775666287,0,0,0,0,-17.2696404661879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pristomyrmex punger ",0,8.60473750759254,0,1.63743218405814,0,0,0,0,0,0,5.56208346570796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2423738249517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63381902074538,0,789.476052827845,0,0,0,0,0,0,0,0,0,5.04447884808396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile nipponica ",4.38598917521519,5.52904422548616,0,0,0,0,0,8.98881909910554,0,0,0,0,0,0,0,0,35.4859565219653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parnara guttata ",0,0,27.8913654270028,0,55.6897820148898,0,0,99.1540831525863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.704601623232,0,0,0,0,0,0,0,0,0,0,426.825802883909,0,0,12.154614582954,0,0,0,0,0,0,0,0,-165.329574956011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philopota nigroaenea ",0,0,0,0,0,4.39476489724144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7101582662353,0,0,0,0,1.74281360338422,108.316478920167,9.61689184314648,0,0,0,0,0,0,0,0,0,64.566485693495,0,0,0,0,0,0,-121.076571325097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalicodoma sculpturalis ",3.50856669989561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp1 M_PL_054",0,199.918571509631,0,19.0216786329596,0,56.1915718741597,0,0,0,0,0,0,0,0,0,0,40.0967907336438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384.93715880431,0,0,0,0,0,0,0,0,105.446549695291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88.4732280140497,0,0,0,0,0,0,0,0,0
