"","Daucus.carota","Leontodon.hispidus","Torilis.japonica","Eupatorium.cannabinum","Centaurea.nigra","Leontodon.autumnalis","Knautia.arvensis","Trifolium.pratense","Aethusa.cynapium","Hypochoeris.radicata","Crepis.capillaris","Linum.catharticum","Chamerion.angustifolium","Plantago.major","Angelica.sylvestris","Leontodon.saxatilis","Senecio.jacobea","Agrimonia.eupatoria","Clematis.vitalba","Euphrasia.officinalis","Convolvulus.arvensis","Medicago.lupulina","Lathyrus.pratensis","Lotus.corniculatus","Rubus.fruticosus"
"Unidentified sp25 M_PL_017",-1.8224863950344,0,-0.75227046809337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_017",0,5.23349756202238,0,0,0,12.4162942592788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp41 M_PL_017",0,0,-1.07626874056214,-1.21529759031139,-1.07395797080975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_017",0,0,-3.62551823763305,0,0,0,0,0,0,-21.0531215377946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Maniola jurtina",-0.540862507321741,0,0,0,0,0,-0.75407011227544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psithyrus sp1 M_PL_017",0,0,0,0,-5.4297985748468,0,-6.126480254188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp14 M_PL_017",0,0,-1.27336487167081,0,-1.270630932722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp28 M_PL_017",0,-4.9309846570806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_017",0,-1.11237713721005,0,0,0,0,0,0,0,-3.99491297354692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp36 M_PL_017",-0.865488909277871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp40 M_PL_017",0,0,-5.1059872718934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp9 M_PL_017",0,0,0,0,0,0,0,5.02576689472524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xanthogramma pedissequum",-0.865488909277869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus trivittatus",0,0,0,-0.928014536161915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platycheirus scutatus",-0.285168567104406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scaeva pyrastri",0,0,0,-0.928014536161913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thymelicus sylvestris",0,0,0,0,0,0,0,10.007370109742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp11 M_PL_017",0,0,0,-0.928014536161915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_017",-0.285168567104407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp23 M_PL_017",-0.285168567104407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp26 M_PL_017",0,0,0,0,-4.67982074775946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp30 M_PL_017",-0.285168567104406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp34 M_PL_017",0,0,0,-0.928014536161913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp35 M_PL_017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42000971326569,0,0,0,0,0,0,0,0,0,0
"Unidentified sp37 M_PL_017",-0.285168567104406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_017",0,-0.624957256176351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_017",0,-0.624957256176352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
