"","Kunzea.muelleri","Aciphylla.glacialis","Hypochoeris.radicata","Orites.lancifolia","Prostanthera.cuneata","Craspedia.sp1.M_PL_019","Gentianella.diemensis","Wahlenbergia.ceracea","Microseris.lanceolata","Helichrysum.scorpioides","Baeckia.gunniana","Celmisia.longifolia","Epacris.petrophila","Oxylobium.ellipticum","Senecio.lautus","Euphrasia.collina","Helipterum.albicans","Senecio.gunnii","Achillea.millefolium","Richea.continentis","Leucopogon.montanus","Phebalium.ovatifolium","Helichrysum.alpinum","Brachycome.scapigera","Pentachondra.pumila","Pimelea.ligustrina","Prasophyllum.alpinum","Asperula.gunnii","Leptorhynchos.squamatus","Neopaxia.australasica","Olearia.phlogopappa","Epilobium.gunnianum","Brachycome.stolonifera","Epacris.microphylla","Senecio.pectinatus","Stylidium.graminifolium","Aciphylla.simplicifolia","Brachycome.scapiformis","Brachycome.sp1.M_PL_019","Stackhousia.pulvinaris"
"Melangyna sp1 M_PL_019",0,0,0,2.08159766693053,2.57260691938346,0,0,2.88599033098549,0,0,0,0,0,0,213.763359992971,0,-104.925525902479,0,0,0,0,18.4372790926668,0,26.1506100029337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pelecorhychus rubidus",0,0,0,9.84363405202391,0,0,0,0,0,0,0,0,17.5989537816577,-24.6750768136386,0,0,0,0,0,348.166331958455,0,0,0,0,0,1.59076518677179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tephritis sp2 M_PL_019",0,0,4.31774858311188,0,0,18.5461075716572,0,0,0,29.751513392549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.921297370273,0,0,0,0,0,0,0,0,0,0,0
"Prosena sp1 M_PL_019",0,0,0,0,-16.2756811635191,-39.0045881080955,0,0,0,0,0,-24.6750768136386,0,0,-1352.38083419364,0,82.976843092326,0,-597.503341849654,0,0,0,0,0,0,0,-33.3591485622116,0,0,0,-219.035592078169,0,0,0,0,0,0,0,-37.6837028438209,0
"Lasioglossum sp8 M_PL_019",0,0,283.435589424837,0,190.504198112304,76.0903922195334,0,0,0,0,0,144.408878329408,0,-1352.38083419364,7914.69873893755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tephritis sp1 M_PL_019",0,3.61224183257687,0,0,0,21.7950784645986,0,0,0,0,0,0,0,0,0,0,-46.3660018900848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp1 M_PL_019",0,0,-8.69525426412472,0,0,-4.66861136774268,-5.71545399201907,-6.55622566723395,-12.2682208788996,0,0,0,0,0,-485.615219307238,-23.1830009450424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coenosia sp2 M_PL_019",0,0,0,0,0,0,0,0,0,0,9.67094966511009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_019",0,66.8606787334952,0,68.1034700543135,0,0,0,0,0,0,188.888098280343,0,213.078033698074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empis sp3 M_PL_019",0,0,0,0,0,0,0,85.8751712135804,0,0,171.792772985647,0,0,0,0,910.97116379768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-104.075218886985,0,0
"Lasioglossum sp2 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.401952728317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senostoma sp2 M_PL_019",0,0,0,0,0,3.28143185452397,0,0,0,0,0,0,0,0,0,0,-20.9423713453713,0,0,0,0,0,0,0,52.5205731957254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Villa sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.1269011757885,0,0,0,0,0,0,0,5.15702923010621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alophera sp1 M_PL_019",0,0,0,0,0,3.10282387647211,0,0,0,0,0,0,0,0,0,0,0,0,570.378324793496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphora sp3 M_PL_019",0,0,0,5.92965491711624,3.66417380065177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2602865978627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis tenax",0,0,0,0,0,1.67637818935951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88124381334869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp9 M_PL_019",0,0,0,0,0,0,2.29778178724038,0,0,0,0,0,0,0,0,0,0,0,345.025871437652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leioproctus sp2 M_PL_019",0,0,0,0,-4.28019512703224,-3.41915537000425,0,-4.80158925884666,-8.98488865196969,0,0,0,0,0,-355.650482351662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_019",0,0,0,0,0,0,0,0,0,0,33.4556656901892,0,0,0,2477.4265810302,0,-76.0026434452804,0,0,0,0,0,0,0,47.6510316370968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empis sp5 M_PL_019",0,0,0,0,-4.00525419737912,0,0,-4.49315626094382,0,0,0,0,-20.279296192567,0,0,0,20.4196276482569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sapromyza sp1 M_PL_019",0,0,0,0,30.8546222867652,12.3238245395595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6203026575072,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apis mellifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7606882313944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euryglossa sp1 M_PL_019",0,0,0,0,-18.0540077220686,0,0,0,0,0,0,0,0,512.65839316184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp3 M_PL_019",0,0,0,0,0,0,4.5162328713788,0,0,0,0,0,0,-131.133151228262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp5 M_PL_019",0,0,0,0,0,-2.77890444215356,0,-3.90247189053279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.92804683938373,0,0,0,0
"Leioproctus sp4 M_PL_019",0,0,0,4.76108780276449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5425637719057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rivellia sp1 M_PL_019",0,0,0,0,0,0,0,12.4452370379812,0,0,49.793246429775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scaptomyza australis",0,-1.23805738646297,-2.31881289659907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senostoma sp3 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51091978452127,0,0,0,0,5.44007518536959,0,0,0,0,0,0,10.6923322794916,0,0,0,0,0,0
"Tabanus froggatti",0,0,0,0,0,0,0,0,0,0,-16.3577750839601,0,-36.9052638286663,0,0,0,0,0,0,0,0,0,0,0,-23.2984411446601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp8 M_PL_019",0,0,0,0,0,0,0,0,0,0,10.4755324627514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40222690031201,0,0,0,0,0,0
"Unientified sp2 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5043415815986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unientified sp3 M_PL_019",0,-2.88336985839698,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.19917377830207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphora stygia",0,0,0,5.2452557474516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coenosia sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99664803760768,0,3.73992092719716,0,0,0,0,0,0,0,0,0,0
"Empis sp4 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8903778026014,0,0,0,0,0,0,-30.4993816641209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euryglossa sp2 M_PL_019",0,0,0,-2.74939647469157,0,0,0,0,0,0,0,0,0,48.2434619084089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helina sp1 M_PL_019",0,0,0,-3.81274543944575,0,0,0,0,0,0,0,0,-23.8581764065909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helina sp2 M_PL_019",0,0,0,0,0,0,0,0,0,0,-13.7674631467143,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.6090500198604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrellia sp1 M_PL_019",0,-2.72879200245185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp4 M_PL_019",0,0,0,-1.90988100834388,-2.36038557081478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senostoma sp1 M_PL_019",0,0,0,0,0,-7.15423665249637,0,0,0,0,0,0,0,0,-744.162648658787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp6 M_PL_019",0,0,0,-3.04214555373739,0,0,0,0,0,0,-8.43753024448221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp7 M_PL_019",0,0,0,0,0,-4.07104848418737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.2678450374865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphora fulvicoxa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6516589082662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphora hilli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65165890826631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calliphora sp1 M_PL_019",0,0,0,-2.38775223726596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaetophthalamus dorsalis",0,0,0,0,-1.96676778858894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloromerus sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.868718645839034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diostracus sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75075704555375,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empis sp2 M_PL_019",0,0,0,0,0,-2.65485088256678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Empis sp6 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65165890826627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euryglossa sp3 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76.6441975323838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus semipersonatus",0,0,0,0,0,0,0,0,-12.9279568644926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hylaeus sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,-11.6229428749979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hyphesma sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,56.8545379191711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incurviseta sp2 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,-59.1709991969379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp10 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76.644197532384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp11 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141.086578928683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasioglossum sp7 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,56.8545379191711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leioproctus sp3 M_PL_019",0,0,0,0,0,0,0,0,-12.927956864493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leioproctus sp5 M_PL_019",0,0,0,-2.38775223726595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limnophora sp1 M_PL_019",0,0,0,0,0,-2.65485088256681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megachile sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.92804683938377,0,0,0,0
"Phytoliriomyza sp1 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.1567768163502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prohardya carinata",0,0,0,-2.38775223726596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rutilia sp1 M_PL_019",0,0,0,-2.38775223726595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scaptia alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0246530490643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphenella marginata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360449734887063680,0,0,0
"Syrphus sp1 M_PL_019",0,0,0,-2.38775223726596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tapeigaster nigricornis",0,0,0,0,0,0,0,0,0,0,-11.6229428749978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,-59.1709991969366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_019",0,-0.646037397042043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_019",0,0,0,-2.38775223726596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unientified sp4 M_PL_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0246530490646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
