"","Aristotelia.chilensis","Alstroemeria.aurea","Schinus.patagonicus","Berberis.darwinii","Vicia.nigricans","Rosa.eglanteria","Digitalis.purpurea","Cynanchum.diemii","Ribes.magellanicum","Berberis.buxifolia","Mutisia.decurrens","Calceolaria.crenatiflora","Tristerix.corymbosus","Gavilea.odoratissima"
"Unidentified sp27 M_PL_051",0,-0.685487521980799,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp28 M_PL_051",0,0,-1.64244744866555,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp29 M_PL_051",0,-0.685487521980801,0,0,0,0,0,0,0,0,0,0,0,0
"Allograpta exotica",0,0,0,0,0,-0.472910737725189,0,0,0,0,0,0,0,0
"Caenohalictus sp2 M_PL_051",0,0,0,0,0,0,0,0,0,0,-0.720405816458592,0,0,0
"Chilicola sp3 M_PL_051",0,-0.202501387954602,0,0,0,0,0,0,0,0,0,0,0,0
"Corynura sp1 M_PL_051",0,0,0,0,0,-0.47291073772519,0,0,0,0,0,0,0,0
"Unidentified sp30 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp31 M_PL_051",0,0,-0.349473321150965,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp32 M_PL_051",0,0,0,0,0,0,0,-1.1032170993185,0,0,0,0,0,0
"Unidentified sp33 M_PL_051",0,0,-0.349473321150965,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp34 M_PL_051",0,0,-0.349473321150965,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp35 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp36 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp37 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp38 M_PL_051",0,0,-0.349473321150964,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp39 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp40 M_PL_051",0,0,-0.349473321150965,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp41 M_PL_051",0,0,0,0,0,-0.472910737725189,0,0,0,0,0,0,0,0
"Unidentified sp42 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp43 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp44 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp45 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp46 M_PL_051",0,0,-0.349473321150965,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp47 M_PL_051",0,0,0,0,0,-0.472910737725193,0,0,0,0,0,0,0,0
"Unidentified sp48 M_PL_051",0,0,0,0,0,0,0,-1.1032170993185,0,0,0,0,0,0
"Unidentified sp49 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp50 M_PL_051",0,0,-0.349473321150965,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp51 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp52 M_PL_051",0,-0.202501387954601,0,0,0,0,0,0,0,0,0,0,0,0
