"","Dryas integrifolia","Salix arctica","Saxifraga oppositifolia","Potentilla nivea","Papaver radicatum","Pedicularis arctica","Lesquerella arctica","Polygonum viviparum","Arnica alpina","Taraxacum arctogenum","Stellaria longipes","Erysimum pallasii","Saxifraga hirculus","Cassiope tetragona","Cerastium alpinum","Draba sp1 M_PL_020","Erigeron compositus","Erigeron eriocephalus","Pedicularis capitata","Ranumculus sulphureus"
"Fucellia pictipennis",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lycaena feildeni",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nematus sp1 M_PL_020",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olethreutes inquietana",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Phalacrodira nigropilosa",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plebius aquilo",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pogonomyoides segnis",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamphomyia hoeli",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamphomyia sp2 M_PL_020",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona dorsata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Spilogona sanctipauli",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_PL_020",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_PL_020",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp3 M_PL_020",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acarina sp1 M_PL_020",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aedes impiger",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aedes nigripes",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allopiophila fulviceps",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apanteles sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arctoseius cetratus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atractodes sp1 M_PL_020",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cecidophyes sp1 M_PL_020",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceratopogon sp2 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalcidae sp1 M_PL_020",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Corynoneura scutellata",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cricotopus sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptus arcticus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Culicoides sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dolichopus dasyops",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Entomobrya comparata",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigone pyschrophila",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Forcipomyia sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helophilus borealis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ichneumonidae sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lasiopiophila pilosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microspectra sp1 M_PL_020",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microspectra sp2 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oresbius sp1 M_PL_020",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orthocladiinae sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pardosa glacialis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pectinarctica stylata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pegomyia sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phormia terraenovae",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytomyza erigerontophaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Procladius sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psectrocladius sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamphomyia ursinella",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saotis sp1 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scatophaga multisetosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scatophaga sp1 M_PL_020",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona denudata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona extensa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona melanosoma",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona obsoleta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona tornensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spilogona tundrae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sympistris labradoris",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarentula exasperans",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tipula arctica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tridymus sp1 M_PL_020",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp4 M_PL_020",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp5 M_PL_020",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
